Title, X OS Grid Ref (Easting),Latitude, Y OS Grid Ref (Northing),Longitude, Site Type ,Monitoring Type, Valid Data Capture for Monitoring Period (%),Valid Data Capture 2019 (%),2015,2016,2017,2018,2019
UKA00632,474022,52.2722739131,264342,"-0.9165854713,", Urban Background, Automatic,74.8,74.8, -, -,12.0,12.9,13.2
1,475486,52.2347540426,260190,-0.8960606507, Roadside, Diffusion Tube,91.7,91.7,37.1,46.9,42.4,33.9,33.9
2,475484,52.2343677986,260147,-0.8960995168, Roadside, Diffusion Tube,83.3,83.3,43.0,46.4,39.7,38.3,39.9
3,475402,52.2338936373,260093,-0.8973120403, Roadside, Diffusion Tube,100.0,100.0,38.8,47.5,45.2,37.1,36.8
4,475382,52.2340132297,260106,-0.8976019482, Roadside, Diffusion Tube,100.0,100.0,39.1,46.6,42.3,34.6,34.0
5,475580,52.2339141807,260098,-0.8947049913, Roadside, Diffusion Tube,100.0,100.0,32.0,34.6,36.8,29.5,29.6
6,475627,52.2343302014,260145,-0.8940064111, Roadside, Diffusion Tube,91.7,91.7,33.8,39.6,38.5,31.0,34.1
7,475406,52.2335964594,260060,-0.8972608282, Roadside, Diffusion Tube,100.0,100.0,36.4,35.1,40.1,29.4,29.1
8,474971,52.2421322943,261003,-0.9034204147, Roadside, Diffusion Tube,91.7,91.7, -, -, -,39.1,40.5
9,475437,52.2281450132,259454,-0.8969419561, Roadside, Diffusion Tube,100.0,100.0,33.9,37.9,33.4,32.8,32.6
10,475451,52.2277565775,259411,-0.8967465987, Roadside, Diffusion Tube,100.0,100.0,36.3,37.3,35.9,32.7,31.8
11,475893,52.2057360619,256968,-0.8908233739, Roadside, Diffusion Tube,100.0,100.0,38.1,43.0,40.0,32.1,33.8
12,475830,52.2013131819,256475,-0.8918551003, Roadside, Diffusion Tube,100.0,100.0,40.9,46.5,30.0,26.1,25.8
13,475769,52.2007732378,256414,-0.8927610772, Roadside, Diffusion Tube,100.0,100.0,34.0,33.5,40.0,38.5,38.2
14,475005,52.1917088642,255394,-0.9041627322, Roadside, Diffusion Tube,100.0,100.0,34.1,37.2,32.8,25.3,24.2
15,473465,52.2045725792,256802,-0.9263828467, Roadside, Diffusion Tube,83.3,83.3,34.1,37.2,36.0,27.0,29.5
